商户名称（poi_name）	省份（province）	城市（city）	区县（town）	详细地址（poi_address）	电话（phone）	纬度/经度	一级分类	二级分类	三级分类
达内珠海中心	广东省	珠海市	香洲区	珠海市香洲区明珠南路金嘉创意谷5栋1楼达内集团	15626927836		教育学校	成人教育	
达内重庆石桥铺中心	重庆市	重庆市	九龙坡区	重庆市九龙坡区科园一路200号渝高大厦C座22层	18983147089		教育学校	成人教育	
达内重庆解放碑中心	重庆市	重庆市	渝中区	重庆市渝中区小什字联合国际37楼	18983147089		教育学校	成人教育	
达内重庆江北中心	重庆市	重庆市	渝北区	重庆市江北嘉州协信大厦A栋18楼	18983147089		教育学校	成人教育	
达内重庆大学生实训基地	重庆市	重庆市	渝北区	重庆市渝北区华山南路16号重庆互联网学院1A312室	400-111-8989		教育学校	成人教育	
达内中山中心	广东省	中山市	石岐区	广东省中山市石岐区安栏路2号中恳大厦13楼	18676267085		教育学校	成人教育	
达内郑州嵩山路中心	河南省	郑州市	中原区	河南省郑州市中原区建设路嵩山路天龙大厦A座18楼	400-876-5661		教育学校	成人教育	
达内长沙河西CBD中心	湖南省	长沙市	岳麓区	湖南省长沙市岳麓区长沙西中心T1栋8楼	0731-88220616		教育学校	成人教育	
达内长沙东塘中心	湖南省	长沙市	雨花区	湖南省长沙市雨花区韶山中路18号中机国际大厦B栋11楼	0731-88220936		教育学校	成人教育	
达内长春中心	吉林省	长春市	南关区	吉林省长春市南关区卫星广场成基商务A座27楼	15948779800		教育学校	成人教育	
达内运城中心	山西省	运城市	盐湖区	山西省运城市盐湖区槐东路68号槐东大厦1-2层	0359-6386616		教育学校	成人教育	
达内云南大学生实训基地	云南省	昆明市	呈贡区	云南省昆明市呈贡科技信息产业创新孵化中心A座12楼1201	400-111-8989		教育学校	成人教育	
达内烟台海港路中心	山东省	烟台市	芝罘区	山东省烟台市芝罘区海港路25号 阳光100A座4层0403	0535-6582277		教育学校	成人教育	
达内武汉武昌中心	湖北省	武汉市	洪山区	湖北省武汉市洪山区欢乐大道75号骏业财富中心B座10楼	027-88028858		教育学校	成人教育	
达内武汉洪山中心	湖北省	武汉市	洪山区	湖北省武汉市洪山区虎泉街杨家湾五环天地大厦A座16楼	027-82662211		教育学校	成人教育	
达内无锡宝龙中心	江苏省	无锡市	新区	江苏省无锡市新区湘江路2-3金源国际大厦A栋1506	0510-85380882		教育学校	成人教育	
达内温州中心	浙江省	温州市	鹿城区	浙江省温州市鹿城区新城大道中通大厦二楼达内科技	0577-88998508		教育学校	成人教育	
达内潍坊中心	山东省	潍坊市	奎文区	山东省潍坊市奎文区东风街鸢飞路西200米建设银行5楼达内时代。	0536-8222150		教育学校	成人教育	
达内唐山中心	河北省	唐山市	路北区	河北省唐山市路北区凤城国贸写字楼1601、1602室	400-876-5661		教育学校	成人教育	
达内太原学府中心	山西省	太原市	小店区	山西省太原市学府街高新国际A座24层	0351-5608878		教育学校	成人教育	
达内太原龙城中心	山西省	太原市	小店区	山西省太原市小店区亲贤北街58号1幢怡和广场7层701.702.702	18035108441		教育学校	成人教育	
达内苏州南门中心	江苏省	苏州市	吴中区	江苏省苏州市吴中区东吴北路223号惠康商务大厦5楼?	0512-67873100		教育学校	成人教育	
达内沈阳三好中心	辽宁省	沈阳市	和平区	辽宁省沈阳市和平区三好街信息产业大厦A座19层	024-22556151		教育学校	成人教育	
达内沈阳奉天中心	辽宁省	沈阳市	沈河区	辽宁省沈阳市沈河区大西路1号文峰大厦10层	024-23988080		教育学校	成人教育	
达内深圳民治中心	广东省	深圳市	龙华新	广东省深圳市龙华新区民治大道嘉熙业广场11楼1155号	0755-33349500		教育学校	成人教育	
达内深圳龙华中心	广东省	深圳市	龙华新	广东省深圳市龙华新区和平路金銮国际商务大厦19层	0755-33609001		教育学校	成人教育	
达内深圳龙岗中心	广东省	深圳市	龙岗区	广东省深圳市龙岗区横岗街道力嘉路108号2013文化创科园A511	0755-36868401		教育学校	成人教育	
达内深圳宝安中心	广东省	深圳市	宝安区	广东省深圳市宝安区福永宝安大道同泰时代广场4栋3楼	0755-32935691		教育学校	成人教育	
